Dimension,Entities,Entities (Spaced),Entities (Singularized)
Applications(1),watch(1),watch(1),watch(1)
Audio System(1),"earbud(1), earbuds(1), earphone(1), headphone(3), microphone(1), speakerphone(1)","earbud(1), earbuds(1), earphone(1), headphone(3), microphone(1), speakerphone(1)","earbud(1), earphone(1), headphone(3), microphone(1), speakerphone(1)"
Circuit(1),"capacitor(1), circuit(1), circuitry(1), subcircuits(1), udi(1)","capacitor(1), circuit(1), circuitry(1), subcircuits(1), udi(1)","capacitor(1), circuit(1), circuitry(1), subcircuits(1), udi(1)"
Data Processing(1),"analytics(3), beamforming(3), bytestream(3), cachelines(1), classifier(3), cloudcomputing(3), coding(3), columnar(3), computation(3), dataflow(3), datahandling(3), dataparallel(3), datastreaming(3), datatransfer(3), datawriting(3), defragmenting(3), demultiplexing(3), digitally(1), dtree(2), fingerprinting(3), hashing(1), informationhandling(3), kmeans(3), lineage(2), packetization(3), pipeline(1), preprocessing(1), recognition(2), subsampling(3)","analytics(3), beamforming(3), bytestream(3), cachelines(1), classifier(3), cloudcomputing(3), coding(3), columnar(3), computation(3), dataflow(3), datahandling(3), dataparallel(3), datastreaming(3), datatransfer(3), datawriting(3), defragmenting(3), demultiplexing(3), digitally(1), dtree(2), fingerprinting(3), hashing(1), informationhandling(3), kmeans(3), lineage(2), packetization(3), pipeline(1), preprocessing(1), recognition(2), subsampling(3)","analytics(3), beamforming(3), bytestream(3), cachelines(1), classifier(3), cloudcomputing(3), coding(3), columnar(3), computation(3), dataflow(3), datahandling(3), dataparallel(3), datastreaming(3), datatransfer(3), datawriting(3), defragmenting(3), demultiplexing(3), digitally(1), dtree(2), fingerprinting(3), hashing(1), informationhandling(3), kmeans(3), lineage(2), packetization(3), pipeline(1), preprocessing(1), recognition(2), subsampling(3)"
Display(1),"lcd(2), microdisplay(1), microdisplays(1)","lcd(2), microdisplay(1), microdisplays(1)","lcd(2), microdisplay(1)"
External Devices(1),smartwatches(1),smartwatches(1),smartwatches(1)
Materials(1),"alumina(1), aluminum(2), aramid(2), barium(1), carbon(1), cellulose(2), ceramic(2), copper(1), fiber(1), gallium(1), garnet(2), glass(1), glassceramic(2), graphene(2), graphite(2), hexylammonium(2), iridium(2), nanofibers(2), nanosheets(2), nickel(2), perovskites(2), phosphide(2), polyester(2), polyethylene(2), polyurethane(1), resin(2), silicate(2), silicon(2), silicone(1), silver(2), titanate(1), vanadium(2)","alumina(1), aluminum(2), aramid(2), barium(1), carbon(1), cellulose(2), ceramic(2), copper(1), fiber(1), gallium(1), garnet(2), glass(1), glassceramic(2), graphene(2), graphite(2), hexylammonium(2), iridium(2), nanofibers(2), nanosheets(2), nickel(2), perovskites(2), phosphide(2), polyester(2), polyethylene(2), polyurethane(1), resin(2), silicate(2), silicon(2), silicone(1), silver(2), titanate(1), vanadium(2)","alumina(1), aluminum(2), aramid(2), barium(1), carbon(1), cellulose(2), ceramic(2), copper(1), fiber(1), gallium(1), garnet(2), glass(1), glassceramic(2), graphene(2), graphite(2), hexylammonium(2), iridium(2), nanofibers(2), nanosheets(2), nickel(2), perovskites(2), phosphide(2), polyester(2), polyethylene(2), polyurethane(1), resin(2), silicate(2), silicon(2), silicone(1), silver(2), titanate(1), vanadium(2)"
Medical Devices(1),"airbag(1), airbags(1), binoculars(1), biologics(1), cannula(1), cardioverter(1), catheter(1), cellphone(1), cigarette(1), conditioner(1), condom(1), defibrillator(1), disability(1), dispenser(1), earbud(1), earbuds(1), electrocardiograph(1), endoscope(1), eyeware(1), flowmeters(1), inhaler(1), inkjet(1), inktoner(1), inverter(1), lotion(1), mattress(1), microendoscopes(1), microneedle(1), microneedles(1), microphone(1), orthotic(1), orthotics(1), oximeter(1), piston(1), prosthetics(1), smartwatches(1), spectacle(1), supraaural(1), syringe(1), tidal(1), toothbrush(1), wristband(1)","airbag(1), airbags(1), binoculars(1), biologics(1), cannula(1), cardioverter(1), catheter(1), cellphone(1), cigarette(1), conditioner(1), condom(1), defibrillator(1), disability(1), dispenser(1), earbud(1), earbuds(1), electrocardiograph(1), endoscope(1), eyeware(1), flowmeters(1), inhaler(1), inkjet(1), inktoner(1), inverter(1), lotion(1), mattress(1), microendoscopes(1), microneedle(1), microneedles(1), microphone(1), orthotic(1), orthotics(1), oximeter(1), piston(1), prosthetics(1), smartwatches(1), spectacle(1), supraaural(1), syringe(1), tidal(1), toothbrush(1), wristband(1)","airbag(1), binoculars(1), biologics(1), cannula(1), cardioverter(1), catheter(1), cellphone(1), cigarette(1), conditioner(1), condom(1), defibrillator(1), disability(1), dispenser(1), earbud(1), electrocardiograph(1), endoscope(1), eyeware(1), flowmeters(1), inhaler(1), inkjet(1), inktoner(1), inverter(1), lotion(1), mattress(1), microendoscopes(1), microneedle(1), microphone(1), orthotic(1), oximeter(1), piston(1), prosthetics(1), smartwatches(1), spectacle(1), supraaural(1), syringe(1), tidal(1), toothbrush(1), wristband(1)"
Memory(1),"gesturebased(2), inmemory(2), intermemory(2), mem(2), memory(2), mempool(2), multimemory(2)","gesturebased(2), inmemory(2), intermemory(2), mem(2), memory(2), mempool(2), multimemory(2)","gesturebased(2), inmemory(2), intermemory(2), mem(2), memory(2), mempool(2), multimemory(2)"
Network System(1),ethernet(2),ethernet(2),ethernet(2)
Optical Technology(1),"electrooptical(1), fiberoptic(1), lightscattering(2), nearinfrared(1), waveguide(1)","electrooptical(1), fiberoptic(1), lightscattering(2), nearinfrared(1), waveguide(1)","electrooptical(1), fiberoptic(1), lightscattering(2), nearinfrared(1), waveguide(1)"
Power(1),powersupply(1),powersupply(1),powersupply(1)
