search URL:,https://patents.google.com/?q=%28wearable+device%29+%28wearable+devices%29&country=US&before=filing:20241231&after=filing:20240101&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-12219082-B2,Systems and methods for automated emergency response ,"Rapidsos, Inc.","Michael John Martin, Nicholas Edward Horelik, John Paul LAWRENCE, Ramon Antonio Alvarez, Mateo Creamer",2019-02-22,2024-07-16,2025-02-04,2025-02-04,https://patents.google.com/patent/US12219082B2/en,https://patentimages.storage.googleapis.com/c9/a6/e5/ba02b30219ada2/US12219082-20250204-D00000.png
US-12290339-B2,Edge computing system with low power wide area network connectivity and autonomous or semi-autonomous machine learning ,CareBand Inc.,"Adam G. Russek-Sobol, Joseph T. Kreidler, Brian A. Donlin, Jon G. LEDWITH, Patrick J. McVey, Ross D. Moore, Peter Nanni, Dwayne D Forsyth, Paul Sheldon, Todd Sobol, John D. Reed",2018-01-05,2024-09-06,2025-05-06,2025-05-06,https://patents.google.com/patent/US12290339B2/en,https://patentimages.storage.googleapis.com/3a/03/26/64bf21b6e2cf7a/US12290339-20250506-D00000.png
US-12282302-B2,Crown for an electronic watch ,Apple Inc.,Michael J. Beyhs,2018-08-02,2024-01-12,2025-04-22,2025-04-22,https://patents.google.com/patent/US12282302B2/en,https://patentimages.storage.googleapis.com/d7/32/57/a3282d0352bf93/US12282302-20250422-D00000.png
US-12293676-B2,Predictive building emergency training and guidance system ,Tabor Mountain Llc,"Russell G. Derickson, Susan R. Hilliard",2020-10-07,2024-05-24,2025-05-06,2025-05-06,https://patents.google.com/patent/US12293676B2/en,https://patentimages.storage.googleapis.com/25/b6/03/050e3362c848f0/US12293676-20250506-D00000.png
US-12232993-B1,Wearable apparatus for the treatment or prevention of osteopenia and osteoporosis ,"Bone Health Technologies, Inc.","Daniel R. BURNETT, Shane Mangrum, Timothy TIGNER, Evan S. Luxon, Marcie HAMILTON, Alex YEE, Jose Gutierrez",2012-12-17,2024-05-09,2025-02-25,2025-02-25,https://patents.google.com/patent/US12232993B1/en,https://patentimages.storage.googleapis.com/71/80/b8/48a770fce29806/US12232993-20250225-D00000.png
US-11969557-B1,Wearable devices for providing pressure therapy to a user ,"New Heights Energy, LLC",Trent K. English,2020-01-08,2024-01-04,2024-04-30,2024-04-30,https://patents.google.com/patent/US11969557B1/en,https://patentimages.storage.googleapis.com/d4/87/5d/305e6c521fe3c6/US11969557-20240430-D00000.png
US-12239458-B2,Wearable device for medication adherence monitoring ,Inhandplus Inc.,Hwiwon Lee,2020-08-19,2024-03-11,2025-03-04,2025-03-04,https://patents.google.com/patent/US12239458B2/en,https://patentimages.storage.googleapis.com/ee/23/0a/4fca991b69ccb4/US12239458-20250304-D00000.png
US-12207897-B1,System for seamless and secure networking of health devices ,Ip Holdings,"Sanjay K. Rao, Sunil K. Rao, Raman K. Rao",2007-05-23,2024-04-16,2025-01-28,2025-01-28,https://patents.google.com/patent/US12207897B1/en,https://patentimages.storage.googleapis.com/73/03/c9/b5613a363108f3/US12207897-20250128-D00000.png
US-12290340-B2,System and method for obtaining bodily function measurements using a mobile device ,Qualcomm Incorporated,"Russel Allyn Martin, Leonid Sheynblat, Douglas Wayne Hoffman",2013-10-25,2024-02-26,2025-05-06,2025-05-06,https://patents.google.com/patent/US12290340B2/en,https://patentimages.storage.googleapis.com/4a/e4/d5/9a924fc7e81785/US12290340-20250506-D00000.png
US-12277797-B2,Body temperature monitoring device and wearable accessary having thermal sensor ,Pixart Imaging Inc.,"Nien-Tse Chen, Yi-Hsien Ko, Yen-Min Chang",2019-06-17,2024-04-18,2025-04-15,2025-04-15,https://patents.google.com/patent/US12277797B2/en,https://patentimages.storage.googleapis.com/88/ba/1f/69bea5255093c9/US12277797-20250415-D00000.png
US-12288287-B2,Graphics system with additional context ,Intel Corporation,"Atsuo Kuwahara, Deepak S. Vembar, Chandrasekaran Sakthivel, Radhakrishnan Venkataraman, Brent E. Insko, Anupreet S. Kalra, Hugues Labbe, Abhishek R. Appu, Ankur N. Shah, Joydeep Ray, Elmoustapha Ould-Ahmed-Vall, Prasoonkumar Surti, Murali Ramadoss",2017-04-17,2024-02-08,2025-04-29,2025-04-29,https://patents.google.com/patent/US12288287B2/en,https://patentimages.storage.googleapis.com/14/82/11/5e4605ab465548/US12288287-20250429-D00000.png
US-12206598-B2,Computer based education methods and apparatus ,Amesite Inc.,Ann Marie Sastry,2018-02-06,2024-01-31,2025-01-21,2025-01-21,https://patents.google.com/patent/US12206598B2/en,https://patentimages.storage.googleapis.com/23/d9/13/a66df64dda00a0/US12206598-20250121-D00000.png
US-12238496-B2,Method of waking a device using spoken voice commands ,"Magic Leap, Inc.","David Thomas Roach, Jean-Marc Jot, Jung-Suk Lee",2020-03-27,2024-01-19,2025-02-25,2025-02-25,https://patents.google.com/patent/US12238496B2/en,https://patentimages.storage.googleapis.com/d5/95/1b/10a1480319c483/US12238496-20250225-D00000.png
US-12238494-B1,Head-worn device with connection region ,"Ingeniospec, Llc","Thomas A. Howell, David Chao, C. Douglass Thomas, Peter P. Tong",2004-07-28,2024-05-31,2025-02-25,2025-02-25,https://patents.google.com/patent/US12238494B1/en,https://patentimages.storage.googleapis.com/27/b0/5a/560f5971d6255e/US12238494-20250225-D00000.png
US-12193790-B2,Wearable devices comprising semiconductor diode light sources with improved signal-to-noise ratio ,"Omni Medsci, Inc.",Mohammed N. Islam,2012-12-31,2024-02-09,2025-01-14,2025-01-14,https://patents.google.com/patent/US12193790B2/en,https://patentimages.storage.googleapis.com/80/f1/e1/0ca3267a24db44/US12193790-20250114-D00000.png
US-12192426-B2,Device and system for recording and reading augmented reality content ,"Pipbin, Inc.","Maximillian John Suiter, Valerie Michele Morrison, Scott David Morrison, Sean Patrick Suiter, Ian Padraic Suiter",2016-06-20,2024-07-18,2025-01-07,2025-01-07,https://patents.google.com/patent/US12192426B2/en,https://patentimages.storage.googleapis.com/b9/d0/4e/e9162b5eaede74/US12192426-20250107-D00000.png
US-12207929-B2,System and method for deep analytics and strategic monetization of biomedical sensor data ,Lear Corporation,David Gallagher,2020-06-17,2024-01-30,2025-01-28,2025-01-28,https://patents.google.com/patent/US12207929B2/en,https://patentimages.storage.googleapis.com/02/88/b3/6bb292ade385d0/US12207929-20250128-D00000.png
US-12300248-B2,Audio signal processing for automatic transcription using ear-wearable device ,"Starkey Laboratories, Inc.","Achintya Kumar Bhowmik, David Alan Fabry, Amit Shahar, Clifford Anthony Tallman",2019-01-05,2024-01-11,2025-05-13,2025-05-13,https://patents.google.com/patent/US12300248B2/en,https://patentimages.storage.googleapis.com/04/11/37/1e1ad59d464761/US12300248-20250513-D00000.png
US-12279849-B2,Method for performing wireless communication by using biosensor and electronic device therefor ,"Samsung Electronics Co., Ltd.","Chungsoon PARK, Kyungmin Kim, Sujin PARK, Hyunggon KIM",2018-04-05,2024-04-30,2025-04-22,2025-04-22,https://patents.google.com/patent/US12279849B2/en,https://patentimages.storage.googleapis.com/44/c7/50/568c52c1e934bc/US12279849-20250422-D00000.png
US-12298521-B2,Voice input for AR wearable devices ,Snap Inc.,"Sharon Moll, Piotr Gurgul, Tomasz Zakrzewski",2022-08-02,2024-04-18,2025-05-13,2025-05-13,https://patents.google.com/patent/US12298521B2/en,https://patentimages.storage.googleapis.com/98/64/10/bcc3c30042778f/US12298521-20250513-D00000.png
US-12254234-B2,Apparatus and method for providing contents related to augmented reality service between electronic device and wearable electronic device ,"Samsung Electronics Co., Ltd.","Youngchan WOO, Donghee Kang, Choonkyoung MOON, Christian PARK, Joayoung LEE, Jiwon Jeon, Hoon Han",2021-11-09,2024-03-18,2025-03-18,2025-03-18,https://patents.google.com/patent/US12254234B2/en,https://patentimages.storage.googleapis.com/c0/01/e9/427454df5e44d9/US12254234-20250318-D00000.png
