Label,Text
audio system,headphone
circuit,"udi, circuit, capacitor, subcircuits, circuitry"
data processing,"bytestream, datastreaming, datahandling, beamforming, columnar, coding, dataflow, lineage, computation, subsampling, informationhandling, kmeans, datawriting, classifier, defragmenting, packetization, fingerprinting, cloudcomputing, dataparallel, datatransfer, analytics, preprocessing, demultiplexing"
display,lcd
medical devices,"inktoner, condom, cigarette, earbuds, oximeter, tidal, inverter, syringe, piston, catheter, endoscope, biologics, earbud, microneedles, microphone, electrocardiograph, orthotic, orthotics, airbag, inhaler, prosthetics, wristband, defibrillator, inkjet, binoculars, smartwatches, cardioverter, microendoscopes, flowmeters, microneedle, disability, dispenser, conditioner, lotion, airbags, eyeware, cellphone, cannula, spectacle, toothbrush, supraaural, mattress"
memory,"multimemory, mem, mempool, gesturebased, memory, intermemory, inmemory"
semiconductor,"iridium, hexylammonium, graphite, subtransistor, silyl, qci, resistor, supercapacitors, postsilicon, thinfilmtransistor, tungsten, phototransistor, crosscarrier, anode, silicate, acrylamidomethylpropanesulfonic, microsemiconductor, alumina, ammonium, garnet, mxene, thioxanthene, quartz, chromium, manganese, arsenide, ssd, indium, onchip, aryloxy, triphenylene, boron, gallium, barium, nanosheets, graphene, ammonia, germanium, perovskite, molybdenum, phosphide, titanium, mtc, carbene, cycloalkenyl, aramid, polyethylene, carbazolylcarbazole, polysilicon, neodymium, perovskites"
sensors,"nanosensors, photosensors, silicon"
user interface,"touchscreen, usermenu, toolbar, headupdisplays, gui, microvisor, displaypanel, iframe"
wireless communication,"wlan, bluetooth, wifi"
