label,topic,keywords
User Interface,Topic 0,"user, data, image, device, content, object, method, based, second, display, model, information, video, input, plurality, medium, virtual, interface, associated, item"
Wireless Signal Setup,Topic 1,"resource, sidelink, signal, symbol, slot, sr, information, second, reference, channel, method, related, time, sl, physical, timefrequency, window, wireless, set, rach"
Circuit,Topic 2,"voltage, memory, cell, word, read, envelope, sensory, inductor, barcode, converter, diffusion, regulator, venue, resistor, bit, line, error, bias, amplifier, page"
Medical Devices,Topic 3,"patient, treatment, signal, sensor, medical, surgical, temperature, rate, blood, data, monitoring, robot, measurement, pressure, method, heart, based, plan, skin, therapy"
Audio System,Topic 4,"audio, sound, acoustic, signal, haptic, speaker, microphone, hand, ear, user, wave, computergenerated, tissue, feedback, headworn, transducer, food, head, modality, reflective"
Power,Topic 5,"power, signal, antenna, circuit, frequency, configured, rf, second, vibration, charging, battery, wireless, energy, device, cable, band, accessory, coil, switch, control"
Network System,Topic 6,"device, network, data, user, communication, service, access, associated, request, information, application, method, transaction, computing, second, message, mobile, key, based, identifier"
Display,Topic 7,"pixel, display, circuit, second, signal, voltage, light, line, driving, electrode, element, layer, transistor, panel, lens, plurality, region, connected, driver, gate"
Memory,Topic 8,"data, memory, storage, device, file, card, request, host, second, controller, address, operation, plurality, information, command, record, user, server, service, table"
Data Processing,Topic 9,"block, current, prediction, decoding, transform, sample, picture, bit, basis, deriving, residual, vector, flag, intra, bitstream, information, mode, coefficient, motion, encoding"
Display Manufacturing,Topic 10,"emissive, cleaning, retention, parking, deposit, documentation, oled, spot, print, fund, bond, clinical, velocity, blind, rider, resonance, damaged, household, compilation, grip"
Semiconductor,Topic 11,"die, test, clock, ray, clip, bank, primitive, guest, comment, wheel, footwear, semiconductor, register, interconnect, intersection, comparator, tunnel, rating, dy, belt"
Emergency,Topic 12,"vehicle, emergency, financial, safety, handheld, biometric, person, telephone, marker, chatbot, chain, post, building, assistance, occupant, fault, ultrasonic, caller, lidar, fragment"
Wireless Communication,Topic 13,"ue, wireless, communication, channel, transmission, device, information, signal, station, second, resource, beam, configuration, network, control, base, cell, method, uplink, aspect"
Sensors,Topic 14,"surface, display, second, housing, portion, light, layer, device, optical, sensor, substrate, structure, configured, disposed, material, electronic, includes, assembly, area, touch"
External Devices,Topic 15,"vehicle, autonomous, browser, operator, collision, web, road, listing, uci, trip, reservation, kiosk, fitness, exit, dispenser, desktop, cache, repair, fleet, launch"
