patent_number,title,abstract,date_filed,date_granted
US12219082B2,"Systems and methods for automated emergency response 
       ","
     Described herein are systems, devices, methods, and media for facilitating emergency communications by an emergency management system. In one embodiment, a method for facilitating emergency communications comprises: identifying a user potentially affected by an emergency; providing an emergency response message to a communication device associated with the user; receiving confirmation of the emergency; in response to receiving confirmation of the emergency, initiating an autonomous communication session with the user through the communication device; extracting emergency information from the autonomous communication session; and providing the emergency information to an emergency service provider (ESP). 
   
   ",,
US12290339B2,"Edge computing system with low power wide area network connectivity and autonomous or semi-autonomous machine learning 
       ","
     A mobile edge computing system, a communication network and a method of using a mobile edge computing device. The mobile edge computing system includes a communication module that establishes signal communication over numerous wireless communication protocols at least one of which uses a low power wide area network protocol. A logic device is made up of a distributed set of processing units including both a central processing unit and one or more processors configured for performing machine learning operations the latter of which include one or more of a graphical processor unit and a tensor processing unit. When the system receives event data that has been acquired by one or more of the communication module and a sensor, the system executes a trained machine learning model and conveys, using the low power wide area network protocol, an output that has been produced by the trained machine learning model. 
   
   ",,
US12282302B2,"Crown for an electronic watch 
       ","
     An electronic watch includes a housing defining a side surface of the electronic watch, a transparent cover coupled to the housing and defining a front surface of the electronic watch, an image-sensing element, and a crown extending from the side of the housing and defining an imaging surface. The crown may include a light-directing feature configured to direct, onto the image-sensing element, an image of an object in contact with the imaging surface. 
   
   ",,
US12293676B2,"Predictive building emergency training and guidance system 
       ","
     The disclosed technology provides for generating simulation training models that can be used to prepare people (i.e., building occupants, first responders) to safely and calmly respond to emergencies, such as fires in high-rise buildings. Using the training models, people can better cope with decision-making during emergencies. The disclosed technology also uses signaling devices, wearables, and other devices and sensors distributed throughout a building to provide egress or stay-in-place guidance to people located in the building during an emergency. Audio and/or visual information can be outputted to people to guide them along a safe pathway that is selected to provide safe egress for the person, including anticipating and protecting the person from changing emergency conditions within the building and in response to how the person responded to the simulation training models. 
   
   ",,
US12239458B2,"Wearable device for medication adherence monitoring 
       ","
     A monitoring system for obtaining a video related to medication adherence of a user, includes: a wireless communication device comprising a motion sensor, an ambient light sensor, a first transceiver transmitting data to an external device, and a first controller configured to control the motion sensor, the ambient light sensor, and the first transceiver, the wireless communication device having an attaching portion for being attached to an object containing a medication; and a wearable device including a camera, a second transceiver receiving a signal from the first transceiver, and a second controller configured to obtain video data through the camera based on the signal received through the second transceiver. 
   
   ",,
US12290340B2,"System and method for obtaining bodily function measurements using a mobile device 
       ","
     Methods, systems, computer-readable media, and apparatuses for obtaining at least one bodily function measurement are presented. A mobile device includes an outer body sized to be portable for user, a processor contained within the outer body, and a plurality of sensors physically coupled to the outer body. The sensors are configured to obtain a first measurement indicative of blood volume and a second measurement indicative of heart electrical activity in response to a user action. A blood pressure measurement is determined based on the first measurement and the second measurement. The sensors also include electrodes where a portion of a user's body positioned between the electrodes completes a circuit and a measurement to provide at least one measure of impedance associated with the user's body. A hydration level measurement is determined based on the measure of impedance. 
   
   ",,
US12277797B2,"Body temperature monitoring device and wearable accessary having thermal sensor 
       ","
     There is provided a recognition system adaptable to a portable device or a wearable device. The recognition system senses a body heat using a thermal sensor, and performs functions such as the living body recognition, image denoising and body temperature prompting according to detected results. 
   
   ",,
US12288287B2,"Graphics system with additional context 
       ","
     An embodiment of an electronic processing system may include an application processor, persistent storage media communicatively coupled to the application processor, and a graphics subsystem communicatively coupled to the application processor. The graphics subsystem may include a first graphics engine to process a graphics workload, and a second graphics engine to offload at least a portion of the graphics workload from the first graphics engine. The second graphics engine may include a low precision compute engine. The system may further include a wearable display housing the second graphics engine. Other embodiments are disclosed and claimed. 
   
   ",,
US12206598B2,"Computer based education methods and apparatus 
       ","
     A method for dynamically allocating server resources includes receiving a request from a client system, wherein the request comprises a request for a first set of streaming data, providing from the server to the client system a first portion of streaming data from the first set of streaming data, wherein the first portion is associated with a first quality of service level, receiving user activity data from the client system for the first portion of the streaming data, determining a second quality of service level for a second portion of the streaming data from the first set of streaming data, providing from the server to the client system the second portion of streaming data from the first set of streaming data, wherein the second portion provided with the second quality of service level, and wherein the first quality of service level is different from the second quality of service level. 
   
   ",,
US12238496B2,"Method of waking a device using spoken voice commands 
       ","
     Disclosed herein are systems and methods for processing speech signals in mixed reality applications. A method may include receiving an audio signal; determining, via first processors, whether the audio signal comprises a voice onset event; in accordance with a determination that the audio signal comprises the voice onset event: waking a second one or more processors; determining, via the second processors, that the audio signal comprises a predetermined trigger signal; in accordance with a determination that the audio signal comprises the predetermined trigger signal: waking third processors; performing, via the third processors, automatic speech recognition based on the audio signal; and in accordance with a determination that the audio signal does not comprise the predetermined trigger signal: forgoing waking the third processors; and in accordance with a determination that the audio signal does not comprise the voice onset event: forgoing waking the second processors. 
   
   ",,
